,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Epoch,formatted_Time,day,source_target,demo_category
0,563211,4,564798,-732727926,0.0188679,,,,,,,1002972474,"2001-10-13,08:27:54",2001-10-13,563211-564798,NA
1,563211,4,627390,-496596726,0.2,,,,,,,1239103674,"2009-04-07,08:27:54",2009-04-07,563211-627390,NA
2,563211,4,561114,-277745526,0.25,,,,,,,1457954874,"2016-03-14,08:27:54",2016-03-14,563211-561114,NA
3,541017,4,601492,-64423926,0.14285699999999998,,,,,,,1671276474,"2022-12-17,08:27:54",2022-12-17,541017-601492,NA
4,572413,1,629627,1296000,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1736996400,"2025-01-16,00:00:00",2025-01-16,572413-629627,NA
5,572413,1,505965,1302571,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737002971,"2025-01-16,01:49:31",2025-01-16,572413-505965,NA
6,505965,0,629627,1308663,1.0,,,,,,,1737009063,"2025-01-16,03:31:03",2025-01-16,505965-629627,NA
7,572413,1,505965,1316274,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737016674,"2025-01-16,05:37:54",2025-01-16,572413-505965,NA
8,629627,1,515794,1316615,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998,1737017015,"2025-01-16,05:43:35",2025-01-16,629627-515794,NA
9,505965,0,515794,1325061,1.0,,,,,,,1737025461,"2025-01-16,08:04:21",2025-01-16,505965-515794,NA
10,572413,1,629627,1336641,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1737037041,"2025-01-16,11:17:21",2025-01-16,572413-629627,NA
11,572413,1,515794,1355121,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998,1737055521,"2025-01-16,16:25:21",2025-01-16,572413-515794,NA
12,515794,1,505965,1360796,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998,1737061196,"2025-01-16,17:59:56",2025-01-16,515794-505965,NA
13,515794,1,505965,1368519,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998,1737068919,"2025-01-16,20:08:39",2025-01-16,515794-505965,NA
14,572413,1,505965,1368710,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737069110,"2025-01-16,20:11:50",2025-01-16,572413-505965,NA
15,505965,0,515794,1372640,1.0,,,,,,,1737073040,"2025-01-16,21:17:20",2025-01-16,505965-515794,NA
16,572413,1,515794,1380370,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998,1737080770,"2025-01-16,23:26:10",2025-01-16,572413-515794,NA
17,505965,0,515794,1431512,1.0,,,,,,,1737131912,"2025-01-17,13:38:32",2025-01-17,505965-515794,NA
18,629627,1,515794,1466354,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998,1737166754,"2025-01-17,23:19:14",2025-01-17,629627-515794,NA
19,572413,1,505965,1475513,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737175913,"2025-01-18,01:51:53",2025-01-18,572413-505965,NA
20,515794,1,505965,1477390,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998,1737177790,"2025-01-18,02:23:10",2025-01-18,515794-505965,NA
21,572413,1,629627,1503450,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1737203850,"2025-01-18,09:37:30",2025-01-18,572413-629627,NA
22,515794,1,629627,1518265,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983,1737218665,"2025-01-18,13:44:25",2025-01-18,515794-629627,NA
23,515794,1,505965,1532336,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998,1737232736,"2025-01-18,17:38:56",2025-01-18,515794-505965,NA
24,505965,0,629627,1538449,1.0,,,,,,,1737238849,"2025-01-18,19:20:49",2025-01-18,505965-629627,NA
25,515794,0,629627,1578355,1.0,,,,,,,1737278755,"2025-01-19,06:25:55",2025-01-19,515794-629627,NA
26,515794,0,505965,1589475,1.0,,,,,,,1737289875,"2025-01-19,09:31:15",2025-01-19,515794-505965,NA
27,515794,1,629627,1609697,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983,1737310097,"2025-01-19,15:08:17",2025-01-19,515794-629627,NA
28,515794,0,505965,1630374,1.0,,,,,,,1737330774,"2025-01-19,20:52:54",2025-01-19,515794-505965,NA
29,515794,0,629627,1637146,1.0,,,,,,,1737337546,"2025-01-19,22:45:46",2025-01-19,515794-629627,NA
30,515794,0,629627,1651736,1.0,,,,,,,1737352136,"2025-01-20,02:48:56",2025-01-20,515794-629627,NA
31,572413,1,515794,1669897,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998,1737370297,"2025-01-20,07:51:37",2025-01-20,572413-515794,NA
32,515794,0,629627,1679456,1.0,,,,,,,1737379856,"2025-01-20,10:30:56",2025-01-20,515794-629627,NA
33,572413,1,505965,1692111,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737392511,"2025-01-20,14:01:51",2025-01-20,572413-505965,NA
34,505965,0,515794,1692798,1.0,,,,,,,1737393198,"2025-01-20,14:13:18",2025-01-20,505965-515794,NA
35,572413,1,629627,1695281,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1737395681,"2025-01-20,14:54:41",2025-01-20,572413-629627,NA
36,505965,0,515794,1720161,1.0,,,,,,,1737420561,"2025-01-20,21:49:21",2025-01-20,505965-515794,NA
37,572413,1,515794,1732391,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998,1737432791,"2025-01-21,01:13:11",2025-01-21,572413-515794,NA
38,515794,0,505965,1732586,1.0,,,,,,,1737432986,"2025-01-21,01:16:26",2025-01-21,515794-505965,NA
39,515794,1,629627,1733739,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983,1737434139,"2025-01-21,01:35:39",2025-01-21,515794-629627,NA
40,572413,1,505965,1736351,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737436751,"2025-01-21,02:19:11",2025-01-21,572413-505965,NA
41,505965,0,629627,1758690,1.0,,,,,,,1737459090,"2025-01-21,08:31:30",2025-01-21,505965-629627,NA
42,629627,1,505965,1779937,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998,1737480337,"2025-01-21,14:25:37",2025-01-21,629627-505965,NA
43,515794,0,505965,1791802,1.0,,,,,,,1737492202,"2025-01-21,17:43:22",2025-01-21,515794-505965,NA
44,505965,0,629627,1797636,1.0,,,,,,,1737498036,"2025-01-21,19:20:36",2025-01-21,505965-629627,NA
45,629627,1,515794,1804143,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998,1737504543,"2025-01-21,21:09:03",2025-01-21,629627-515794,NA
46,515794,1,629627,1810012,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983,1737510412,"2025-01-21,22:46:52",2025-01-21,515794-629627,NA
47,505965,0,629627,1817071,1.0,,,,,,,1737517471,"2025-01-22,00:44:31",2025-01-22,505965-629627,NA
48,572413,1,629627,1821154,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1737521554,"2025-01-22,01:52:34",2025-01-22,572413-629627,NA
49,572413,1,629627,1830463,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983,1737530863,"2025-01-22,04:27:43",2025-01-22,572413-629627,NA
50,572413,1,505965,1844074,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737544474,"2025-01-22,08:14:34",2025-01-22,572413-505965,NA
51,572413,1,505965,1873199,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998,1737573599,"2025-01-22,16:19:59",2025-01-22,572413-505965,NA
52,541017,0,563211,1982342,1.0,,,,,,,1737682742,"2025-01-23,22:39:02",2025-01-23,541017-563211,NA
