,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Epoch,formatted_Time,day,source_target,demo_category
0,619322,3,590442,96346,17.0,,,,,,,1735796746,"2025-01-02,02:45:46",2025-01-02,619322-590442,NA
1,594308,0,549840,105656,1.0,,,,,,,1735806056,"2025-01-02,05:20:56",2025-01-02,594308-549840,NA
2,524153,3,629769,307922,4.0,,,,,,,1736008322,"2025-01-04,13:32:02",2025-01-04,524153-629769,NA
3,524153,3,461577,449990,1923.0,,,,,,,1736150390,"2025-01-06,04:59:50",2025-01-06,524153-461577,NA
4,619322,3,547205,634562,242.0,,,,,,,1736334962,"2025-01-08,08:16:02",2025-01-08,619322-547205,NA
5,483784,0,631903,975525,1.0,,,,,,,1736675925,"2025-01-12,06:58:45",2025-01-12,483784-631903,NA
6,619322,2,549891,1445076,6663.0,,,,,,,1737145476,"2025-01-17,17:24:36",2025-01-17,619322-549891,NA
7,524153,3,632485,1665011,108.0,,,,,,,1737365411,"2025-01-20,06:30:11",2025-01-20,524153-632485,NA
8,549840,0,619322,1674004,1.0,,,,,,,1737374404,"2025-01-20,09:00:04",2025-01-20,549840-619322,NA
9,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1737687600,"2025-01-24,00:00:00",2025-01-24,619322-657173,NA
10,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1737687600,"2025-01-24,00:00:00",2025-01-24,619322-657173,NA
11,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1737687600,"2025-01-24,00:00:00",2025-01-24,619322-657173,NA
12,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1737687600,"2025-01-24,00:00:00",2025-01-24,619322-657173,NA
13,619322,6,657173,1987200,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,1737687600,"2025-01-24,00:00:00",2025-01-24,619322-657173,NA
14,594308,1,477657,2053209,1.0,2.0,4.0,-24.1761,93.8902,-1.17279,-170.646,1737753609,"2025-01-24,18:20:09",2025-01-24,594308-477657,NA
15,524153,2,620947,3116332,821.0,,,,,,,1738816732,"2025-02-06,01:38:52",2025-02-06,524153-620947,NA
16,524153,3,492039,3142346,1.0,,,,,,,1738842746,"2025-02-06,08:52:26",2025-02-06,524153-492039,NA
17,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1738983600,"2025-02-08,00:00:00",2025-02-08,594308-616453,NA
18,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1738983600,"2025-02-08,00:00:00",2025-02-08,594308-616453,NA
19,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1738983600,"2025-02-08,00:00:00",2025-02-08,594308-616453,NA
20,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1738983600,"2025-02-08,00:00:00",2025-02-08,594308-616453,NA
21,594308,6,616453,3283200,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,1738983600,"2025-02-08,00:00:00",2025-02-08,594308-616453,NA
22,524153,3,483999,3402295,39.0,,,,,,,1739102695,"2025-02-09,09:04:55",2025-02-09,524153-483999,NA
23,524153,3,644754,4504258,72.0,,,,,,,1740204658,"2025-02-22,03:10:58",2025-02-22,524153-644754,NA
24,524153,3,525263,4680024,719.0,,,,,,,1740380424,"2025-02-24,04:00:24",2025-02-24,524153-525263,NA
25,483784,1,619322,4699152,1.0,0.0,3.0,32.2503,-40.4067,-24.2286,-111.12899999999999,1740399552,"2025-02-24,09:19:12",2025-02-24,483784-619322,NA
26,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1740625200,"2025-02-27,00:00:00",2025-02-27,477657-616453,NA
27,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1740625200,"2025-02-27,00:00:00",2025-02-27,477657-616453,NA
28,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1740625200,"2025-02-27,00:00:00",2025-02-27,477657-616453,NA
29,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1740625200,"2025-02-27,00:00:00",2025-02-27,477657-616453,NA
30,477657,6,616453,4924800,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,1740625200,"2025-02-27,00:00:00",2025-02-27,477657-616453,NA
31,619322,3,532852,5485356,1927.0,,,,,,,1741185756,"2025-03-05,11:42:36",2025-03-05,619322-532852,NA
32,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1741402800,"2025-03-08,00:00:00",2025-03-08,477657-625756,NA
33,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1741402800,"2025-03-08,00:00:00",2025-03-08,477657-625756,NA
34,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1741402800,"2025-03-08,00:00:00",2025-03-08,477657-625756,NA
35,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1741402800,"2025-03-08,00:00:00",2025-03-08,477657-625756,NA
36,477657,6,625756,5702400,3.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,1741402800,"2025-03-08,00:00:00",2025-03-08,477657-625756,NA
37,524153,3,517649,6308560,165.0,,,,,,,1742008960,"2025-03-15,00:22:40",2025-03-15,524153-517649,NA
38,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1742353200,"2025-03-19,00:00:00",2025-03-19,619322-509607,NA
39,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1742353200,"2025-03-19,00:00:00",2025-03-19,619322-509607,NA
40,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1742353200,"2025-03-19,00:00:00",2025-03-19,619322-509607,NA
41,619322,6,509607,6652800,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,1742353200,"2025-03-19,00:00:00",2025-03-19,619322-509607,NA
