2011,1,1419
2011,2,1491
2011,3,1539
2011,4,1567
2011,5,1543
2011,6,1543
2011,7,1514
2011,8,1497
2011,9,1496
2011,10,1483
2011,11,1480
2011,12,1474
2012,1,1504
2012,2,1528
2012,3,1568
2012,4,1587
2012,5,1587
2012,6,1581
2012,7,1580
2012,8,1556
2012,9,1543
2012,10,1552
2012,11,1584
2012,12,1634
2013,1,1725
2013,2,1809
2013,3,1942
2013,4,2038
2013,5,2075
2013,6,2108
2013,7,2138
2013,8,2147
2013,9,2169
2013,10,2197
2013,11,2250
2013,12,2301
2014,1,2465
2014,2,2690
2014,3,2794
2014,4,2943
2014,5,2973
2014,6,3062
2014,7,3146
2014,8,3112
2014,9,3153
2014,10,3175
2014,11,3249
2014,12,3219
2015,1,3173
2015,2,3250
2015,3,3228
2015,4,3281
2015,5,3256
2015,6,3188
2015,7,3066
2015,8,2835
2015,9,2680
2015,10,2682
2015,11,2596
2015,12,2575
2016,1,2750
2016,2,2806
2016,3,2890
2016,4,3347
2016,5,3961
2016,6,4121
2016,7,4194
2016,8,4266
2016,9,4377
2016,10,4428
2016,11,4525
2016,12,4710
2017,1,4949
2017,2,5076
